Part ID,Value,Package,Layer,Rotation,X,Y
CN7,1-534236-9,ECE298_REVTRANS38DIL-1,BOT,0,177.362,1019.69
CN10,1-534236-9,ECE298_REVTRANS38DIL-1,BOT,0,2577.36,1021.26
U4,4555,DIL16,TOP,-90,740.551,929.528
U9,4555,DIL16,TOP,-90,1311.42,587.008
N1,CONN-SIL4,CONN-SIL4,TOP,-180,2113.78,590.551
N2,CONN-SIL7,CONN-SIL7,TOP,-90,2059.06,1865.35
N12,CONN-SIL4,CONN-SIL4,TOP,-180,2113.78,295.276
N13,CONN-SIL4,CONN-SIL4,TOP,-180,2113.78,433.071
N15,CONN-SIL6,CONN-SIL6,TOP,0,1844.49,1279.53
N14,CONN-SIL6,CONN-SIL6,TOP,-90,1791.34,438.976
N16,CONN-SIL6,CONN-SIL6,TOP,-90,1023.62,990.157
N17,CONN-SIL6,CONN-SIL6,TOP,-90,433.071,832.677
N18,CONN-SIL6,CONN-SIL6,TOP,-90,1614.17,438.976
N19,CONN-SIL6,CONN-SIL6,TOP,-90,1003.94,352.362
N20,CONN-SIL2,CONN-SIL2,TOP,0,1290.16,39.3701
N21,CONN-SIL4,CONN-SIL4,TOP,0,2118.5,137.795
U2,4555,DIL16,TOP,0,1953.94,961.811
N3,CONN-SIL2,CONN-SIL2,TOP,0,502.756,1437.01
N4,CONN-SIL2,CONN-SIL2,TOP,0,502.756,1633.86
N5,CONN-SIL2,CONN-SIL2,TOP,0,502.756,1870.08
N6,CONN-SIL2,CONN-SIL2,TOP,0,483.071,354.331
N7,CONN-SIL2,CONN-SIL2,TOP,0,483.071,137.795
N8,CONN-SIL2,CONN-SIL2,TOP,0,758.661,354.331
N9,CONN-SIL2,CONN-SIL2,TOP,0,2274.41,1830.71
N10,CONN-SIL2,CONN-SIL2,TOP,0,2274.41,1633.86
N11,CONN-SIL2,CONN-SIL2,TOP,0,2274.41,1437.01
U5,NJU77002ARB1,SOP65P490X109-8,BOT,0,759.843,125
U6,NJU77002ARB1,SOP65P490X109-8,BOT,0,1330.71,1187.99
U8,NJU77002ARB1,SOP65P490X109-8,BOT,0,188.976,2211.61
U10,NJU77002ARB1,SOP65P490X109-8,BOT,0,2551.18,2211.61
U11,NJU77002ARB1,SOP65P490X109-8,BOT,-90,2239.17,2208.66
U12,NJU77000F,SOT95P280X100-5,BOT,0,616.142,2204.72
U13,NJU77002ARB1,SOP65P490X109-8,BOT,0,2295.28,1227.36
C1,10u,CAPC3225X100,BOT,0,669.291,2003.94
C2,10u,CAPC3225X100,BOT,0,673.228,1751.97
C3,10000pF,CAPC2012X100,BOT,0,692.913,1562.99
C4,10000pF,CAPC2012X100,BOT,0,1314.96,893.701
C5,10u,CAPC3225X100,BOT,0,1318.9,708.661
C6,10u,CAPC3225X100,BOT,0,1303.15,500
C7,10u,CAPC3225X100,BOT,0,1295.28,291.339
C8,10000pF,CAPC2012X100,BOT,0,1637.8,948.819
C9,10000pF,CAPC2012X100,BOT,0,1803.15,948.819
C10,10000pF,CAPC2012X100,BOT,0,732.283,1244.09
C11,10000pF,CAPC2012X100,BOT,0,728.346,1070.87
C12,10000pF,CAPC2012X100,BOT,0,736.22,909.449
C13,10000pF,CAPC2012X100,BOT,0,736.22,751.969
C14,10000pF,CAPC2012X100,BOT,0,1326.77,1019.69
C15,10000pF,CAPC2012X100,BOT,0,2043.31,944.882
C16,10000pF,CAPC2012X100,BOT,0,732.283,610.236
C17,10000pF,CAPC2012X100,BOT,0,2220.47,948.819
